Q1,Q1_4_TEXT,ISO3,Q1_5_TEXT,Q24,Q2,Q28,Q28_1_TEXT,Q27,Q27_1_TEXT,Q27_2_TEXT,Q27_3_TEXT,Q27_4_TEXT,Q20,Q20_1_TEXT,Q20_2_TEXT,Q20_3_TEXT,Q20_4_TEXT,Q20_5_TEXT,Q20_6_TEXT,Q20_14_TEXT,Q20_16_TEXT,Q20_15_TEXT,Q5,Q5_3_TEXT,Q3,Q3_1_TEXT,Q21,Q21_1_TEXT,Q32,Q4,Q4_4_TEXT,Q22,Q22_1_TEXT,Q31,Q6,Q6_1_TEXT,Q10,Q10_6_TEXT,Q10_3_TEXT,Q10_8_TEXT,Q7,Q7_1_TEXT,Q7_2_TEXT,Q7_17_TEXT,Q7_18_TEXT,Q17,Q17_3_TEXT,Q8,Q9,Q9_1_TEXT,Q33,Q33_1_TEXT,Q33_2_TEXT,SC0
Copy and paste the country name and the ID number from the spreadsheet for the policy you are coding. - Selected Choice,Copy and paste the country name and the ID number from the spreadsheet for the policy you are coding. - Country name - Text,,"Copy and paste the country name and the ID number from the spreadsheet for the policy you are coding. - POLICY ID Number (found in first column, titled POLICY ID); if you're coding an unassigned policy, generate a new policy ID with your initials and a number counting up, starting with 1, e.g. ""MS2"" - Text","At first glance, is this an international-level policy which relates (in any way) to a restriction on people outside the country attempting to travel inside of the country? For assigned policies, read the information under the column headers in spreadsheet ""measure"" and ""comments"" in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5]. (For non-assigned policies, assess the policy text in a reliable source.)","For [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5], click on the link under SOURCE 1 (and under SOURCE 2 if there is one) and record the source-type. If two sources are included, select both source-types below.","If you're unable to read the language of the policy text, but think it may be a reputable source, try to find a snapshot of the link on the Wayback Machine by copying and pasting the link in the search browser, on a date on/before the listed ENTRY DATE. (If there are no snapshots on/before, you can use any snapshot which shows the policy text or snap the page yourself).

You can try to search for the policy text via a Google Translate function in your browser (or by copying and pasting the relevant text into Google Translate). If the translation is not clear, you can check with one of our project's linguistic experts (Cayleigh/Dallas for Chinese, Cora/Noah for French, Aadya/Yeshwini for Hindi, Lukas for German, Mary for Greek/Thai, Yeshwini for Japanese, Yeshwini for Kannada, Thuy for Vietnamese and Yeshwini for Tamil/Boovhita.) - Selected Choice","If you're unable to read the language of the policy text, but think it may be a reputable source, try to find a snapshot of the link on the Wayback Machine by copying and pasting the link in the search browser, on a date on/before the listed ENTRY DATE. (If there are no snapshots on/before, you can use any snapshot which shows the policy text or snap the page yourself).

You can try to search for the policy text via a Google Translate function in your browser (or by copying and pasting the relevant text into Google Translate). If the translation is not clear, you can check with one of our project's linguistic experts (Cayleigh/Dallas for Chinese, Cora/Noah for French, Aadya/Yeshwini for Hindi, Lukas for German, Mary for Greek/Thai, Yeshwini for Japanese, Yeshwini for Kannada, Thuy for Vietnamese and Yeshwini for Tamil/Boovhita.) - Found it - Text","Locate a link to the snapshot on the Wayback Machine of the source you're recording on/before the date the policy was recorded (date found under column header ""ENTRY DATE""). If there is none, snap one yourself 

Keep in mind the dates in your assignment spreadsheet automated into a DD/MM/YYYY format (whereas the policy source you've found might be in either MM/DD/YYYY format or DD/MM/YYYY format). - Selected Choice","Locate a link to the snapshot on the Wayback Machine of the source you're recording on/before the date the policy was recorded (date found under column header ""ENTRY DATE""). If there is none, snap one yourself 

Keep in mind the dates in your assignment spreadsheet automated into a DD/MM/YYYY format (whereas the policy source you've found might be in either MM/DD/YYYY format or DD/MM/YYYY format). - Wayback snapshot link to IATA - Text","Locate a link to the snapshot on the Wayback Machine of the source you're recording on/before the date the policy was recorded (date found under column header ""ENTRY DATE""). If there is none, snap one yourself 

Keep in mind the dates in your assignment spreadsheet automated into a DD/MM/YYYY format (whereas the policy source you've found might be in either MM/DD/YYYY format or DD/MM/YYYY format). - Wayback snapshot link to SOS - Text","Locate a link to the snapshot on the Wayback Machine of the source you're recording on/before the date the policy was recorded (date found under column header ""ENTRY DATE""). If there is none, snap one yourself 

Keep in mind the dates in your assignment spreadsheet automated into a DD/MM/YYYY format (whereas the policy source you've found might be in either MM/DD/YYYY format or DD/MM/YYYY format). - Wayback snapshot link of actual policy and/or description of it at a .gov website of the host country - Text","Locate a link to the snapshot on the Wayback Machine of the source you're recording on/before the date the policy was recorded (date found under column header ""ENTRY DATE""). If there is none, snap one yourself 

Keep in mind the dates in your assignment spreadsheet automated into a DD/MM/YYYY format (whereas the policy source you've found might be in either MM/DD/YYYY format or DD/MM/YYYY format). - Wayback snapshot link to verified social media post - Text","For policy in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5], are you able to find a second source which falls into one of the below categories? If so, copy and paste the link with the appropriate source type (link not necessary for IATA/SOS). Search in the following order: 1. Search briefly (not extensively) via Google for the actual policy text found at a government website of the host country (ending in .gov or official two letter domain abbreviation, e.g. ""embassy.gr""). Start the search with the COVID-19 travel restrictions page on Wikipedia, which has a relevant .gov site for many countries. Try searching the Wiki page via Wayback as well (there are four snapshots during the month of May).2. Next, [if the policy was implemented on/before Aug 5] search for air travel related policies and new visa policies, search IATA (via Wayback); and [if the policy was implemented on/before May 27] for land and sea border policies, search International SOS (via Wayback). Be sure to only capture Wayback links on/before these listed dates.3. Locate (through google searches and media coverage) a social media post announcing the policy, from a verified account of host country's department of government.5. Search a government website of an external country (ending in .gov), e.g. US State Department. This list from the Overseas Advisory Council (OSAC) often has links to the policy from the host country website, and has an archive of recent ""reports"" which have helpful policy descriptions.6. Use a Google search to locate the policy in a major news outlet of the host country7. Use a Google search to locate the policy in a major news outlet of an external country, e.g. restrictions lists provided by Al Jazeera (via wayback) or New York Times (via wayback), or other coverage. - Selected Choice","For policy in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5], are you able to find a second source which falls into one of the below categories? If so, copy and paste the link with the appropriate source type (link not necessary for IATA/SOS). Search in the following order: 1. Search briefly (not extensively) via Google for the actual policy text found at a government website of the host country (ending in .gov or official two letter domain abbreviation, e.g. ""embassy.gr""). Start the search with the COVID-19 travel restrictions page on Wikipedia, which has a relevant .gov site for many countries. Try searching the Wiki page via Wayback as well (there are four snapshots during the month of May).2. Next, [if the policy was implemented on/before Aug 5] search for air travel related policies and new visa policies, search IATA (via Wayback); and [if the policy was implemented on/before May 27] for land and sea border policies, search International SOS (via Wayback). Be sure to only capture Wayback links on/before these listed dates.3. Locate (through google searches and media coverage) a social media post announcing the policy, from a verified account of host country's department of government.5. Search a government website of an external country (ending in .gov), e.g. US State Department. This list from the Overseas Advisory Council (OSAC) often has links to the policy from the host country website, and has an archive of recent ""reports"" which have helpful policy descriptions.6. Use a Google search to locate the policy in a major news outlet of the host country7. Use a Google search to locate the policy in a major news outlet of an external country, e.g. restrictions lists provided by Al Jazeera (via wayback) or New York Times (via wayback), or other coverage. - Paste Wayback link to IATA - Text","For policy in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5], are you able to find a second source which falls into one of the below categories? If so, copy and paste the link with the appropriate source type (link not necessary for IATA/SOS). Search in the following order: 1. Search briefly (not extensively) via Google for the actual policy text found at a government website of the host country (ending in .gov or official two letter domain abbreviation, e.g. ""embassy.gr""). Start the search with the COVID-19 travel restrictions page on Wikipedia, which has a relevant .gov site for many countries. Try searching the Wiki page via Wayback as well (there are four snapshots during the month of May).2. Next, [if the policy was implemented on/before Aug 5] search for air travel related policies and new visa policies, search IATA (via Wayback); and [if the policy was implemented on/before May 27] for land and sea border policies, search International SOS (via Wayback). Be sure to only capture Wayback links on/before these listed dates.3. Locate (through google searches and media coverage) a social media post announcing the policy, from a verified account of host country's department of government.5. Search a government website of an external country (ending in .gov), e.g. US State Department. This list from the Overseas Advisory Council (OSAC) often has links to the policy from the host country website, and has an archive of recent ""reports"" which have helpful policy descriptions.6. Use a Google search to locate the policy in a major news outlet of the host country7. Use a Google search to locate the policy in a major news outlet of an external country, e.g. restrictions lists provided by Al Jazeera (via wayback) or New York Times (via wayback), or other coverage. - Paste Wayback link to SOS - Text","For policy in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5], are you able to find a second source which falls into one of the below categories? If so, copy and paste the link with the appropriate source type (link not necessary for IATA/SOS). Search in the following order: 1. Search briefly (not extensively) via Google for the actual policy text found at a government website of the host country (ending in .gov or official two letter domain abbreviation, e.g. ""embassy.gr""). Start the search with the COVID-19 travel restrictions page on Wikipedia, which has a relevant .gov site for many countries. Try searching the Wiki page via Wayback as well (there are four snapshots during the month of May).2. Next, [if the policy was implemented on/before Aug 5] search for air travel related policies and new visa policies, search IATA (via Wayback); and [if the policy was implemented on/before May 27] for land and sea border policies, search International SOS (via Wayback). Be sure to only capture Wayback links on/before these listed dates.3. Locate (through google searches and media coverage) a social media post announcing the policy, from a verified account of host country's department of government.5. Search a government website of an external country (ending in .gov), e.g. US State Department. This list from the Overseas Advisory Council (OSAC) often has links to the policy from the host country website, and has an archive of recent ""reports"" which have helpful policy descriptions.6. Use a Google search to locate the policy in a major news outlet of the host country7. Use a Google search to locate the policy in a major news outlet of an external country, e.g. restrictions lists provided by Al Jazeera (via wayback) or New York Times (via wayback), or other coverage. - Paste Wayback snapshot link of actual policy and/or description of it at a .gov website of the host country - Text","For policy in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5], are you able to find a second source which falls into one of the below categories? If so, copy and paste the link with the appropriate source type (link not necessary for IATA/SOS). Search in the following order: 1. Search briefly (not extensively) via Google for the actual policy text found at a government website of the host country (ending in .gov or official two letter domain abbreviation, e.g. ""embassy.gr""). Start the search with the COVID-19 travel restrictions page on Wikipedia, which has a relevant .gov site for many countries. Try searching the Wiki page via Wayback as well (there are four snapshots during the month of May).2. Next, [if the policy was implemented on/before Aug 5] search for air travel related policies and new visa policies, search IATA (via Wayback); and [if the policy was implemented on/before May 27] for land and sea border policies, search International SOS (via Wayback). Be sure to only capture Wayback links on/before these listed dates.3. Locate (through google searches and media coverage) a social media post announcing the policy, from a verified account of host country's department of government.5. Search a government website of an external country (ending in .gov), e.g. US State Department. This list from the Overseas Advisory Council (OSAC) often has links to the policy from the host country website, and has an archive of recent ""reports"" which have helpful policy descriptions.6. Use a Google search to locate the policy in a major news outlet of the host country7. Use a Google search to locate the policy in a major news outlet of an external country, e.g. restrictions lists provided by Al Jazeera (via wayback) or New York Times (via wayback), or other coverage. - Paste Wayback link to verified social media post here - Text","For policy in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5], are you able to find a second source which falls into one of the below categories? If so, copy and paste the link with the appropriate source type (link not necessary for IATA/SOS). Search in the following order: 1. Search briefly (not extensively) via Google for the actual policy text found at a government website of the host country (ending in .gov or official two letter domain abbreviation, e.g. ""embassy.gr""). Start the search with the COVID-19 travel restrictions page on Wikipedia, which has a relevant .gov site for many countries. Try searching the Wiki page via Wayback as well (there are four snapshots during the month of May).2. Next, [if the policy was implemented on/before Aug 5] search for air travel related policies and new visa policies, search IATA (via Wayback); and [if the policy was implemented on/before May 27] for land and sea border policies, search International SOS (via Wayback). Be sure to only capture Wayback links on/before these listed dates.3. Locate (through google searches and media coverage) a social media post announcing the policy, from a verified account of host country's department of government.5. Search a government website of an external country (ending in .gov), e.g. US State Department. This list from the Overseas Advisory Council (OSAC) often has links to the policy from the host country website, and has an archive of recent ""reports"" which have helpful policy descriptions.6. Use a Google search to locate the policy in a major news outlet of the host country7. Use a Google search to locate the policy in a major news outlet of an external country, e.g. restrictions lists provided by Al Jazeera (via wayback) or New York Times (via wayback), or other coverage. - Paste Wayback link to website of external country here - Text","For policy in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5], are you able to find a second source which falls into one of the below categories? If so, copy and paste the link with the appropriate source type (link not necessary for IATA/SOS). Search in the following order: 1. Search briefly (not extensively) via Google for the actual policy text found at a government website of the host country (ending in .gov or official two letter domain abbreviation, e.g. ""embassy.gr""). Start the search with the COVID-19 travel restrictions page on Wikipedia, which has a relevant .gov site for many countries. Try searching the Wiki page via Wayback as well (there are four snapshots during the month of May).2. Next, [if the policy was implemented on/before Aug 5] search for air travel related policies and new visa policies, search IATA (via Wayback); and [if the policy was implemented on/before May 27] for land and sea border policies, search International SOS (via Wayback). Be sure to only capture Wayback links on/before these listed dates.3. Locate (through google searches and media coverage) a social media post announcing the policy, from a verified account of host country's department of government.5. Search a government website of an external country (ending in .gov), e.g. US State Department. This list from the Overseas Advisory Council (OSAC) often has links to the policy from the host country website, and has an archive of recent ""reports"" which have helpful policy descriptions.6. Use a Google search to locate the policy in a major news outlet of the host country7. Use a Google search to locate the policy in a major news outlet of an external country, e.g. restrictions lists provided by Al Jazeera (via wayback) or New York Times (via wayback), or other coverage. - Paste Wayback link to to major news outlet of the host country here - Text","For policy in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5], are you able to find a second source which falls into one of the below categories? If so, copy and paste the link with the appropriate source type (link not necessary for IATA/SOS). Search in the following order: 1. Search briefly (not extensively) via Google for the actual policy text found at a government website of the host country (ending in .gov or official two letter domain abbreviation, e.g. ""embassy.gr""). Start the search with the COVID-19 travel restrictions page on Wikipedia, which has a relevant .gov site for many countries. Try searching the Wiki page via Wayback as well (there are four snapshots during the month of May).2. Next, [if the policy was implemented on/before Aug 5] search for air travel related policies and new visa policies, search IATA (via Wayback); and [if the policy was implemented on/before May 27] for land and sea border policies, search International SOS (via Wayback). Be sure to only capture Wayback links on/before these listed dates.3. Locate (through google searches and media coverage) a social media post announcing the policy, from a verified account of host country's department of government.5. Search a government website of an external country (ending in .gov), e.g. US State Department. This list from the Overseas Advisory Council (OSAC) often has links to the policy from the host country website, and has an archive of recent ""reports"" which have helpful policy descriptions.6. Use a Google search to locate the policy in a major news outlet of the host country7. Use a Google search to locate the policy in a major news outlet of an external country, e.g. restrictions lists provided by Al Jazeera (via wayback) or New York Times (via wayback), or other coverage. - Paste Wayback link to a major news outlet of an external country here - Text","For policy in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5], are you able to find a second source which falls into one of the below categories? If so, copy and paste the link with the appropriate source type (link not necessary for IATA/SOS). Search in the following order: 1. Search briefly (not extensively) via Google for the actual policy text found at a government website of the host country (ending in .gov or official two letter domain abbreviation, e.g. ""embassy.gr""). Start the search with the COVID-19 travel restrictions page on Wikipedia, which has a relevant .gov site for many countries. Try searching the Wiki page via Wayback as well (there are four snapshots during the month of May).2. Next, [if the policy was implemented on/before Aug 5] search for air travel related policies and new visa policies, search IATA (via Wayback); and [if the policy was implemented on/before May 27] for land and sea border policies, search International SOS (via Wayback). Be sure to only capture Wayback links on/before these listed dates.3. Locate (through google searches and media coverage) a social media post announcing the policy, from a verified account of host country's department of government.5. Search a government website of an external country (ending in .gov), e.g. US State Department. This list from the Overseas Advisory Council (OSAC) often has links to the policy from the host country website, and has an archive of recent ""reports"" which have helpful policy descriptions.6. Use a Google search to locate the policy in a major news outlet of the host country7. Use a Google search to locate the policy in a major news outlet of an external country, e.g. restrictions lists provided by Al Jazeera (via wayback) or New York Times (via wayback), or other coverage. - I found a reputable source verifying the policy text, but Wayback hasn't snapshotted it. Snap and paste here: - Text","For policy in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5], are you able to find a second source which falls into one of the below categories? If so, copy and paste the link with the appropriate source type (link not necessary for IATA/SOS). Search in the following order: 1. Search briefly (not extensively) via Google for the actual policy text found at a government website of the host country (ending in .gov or official two letter domain abbreviation, e.g. ""embassy.gr""). Start the search with the COVID-19 travel restrictions page on Wikipedia, which has a relevant .gov site for many countries. Try searching the Wiki page via Wayback as well (there are four snapshots during the month of May).2. Next, [if the policy was implemented on/before Aug 5] search for air travel related policies and new visa policies, search IATA (via Wayback); and [if the policy was implemented on/before May 27] for land and sea border policies, search International SOS (via Wayback). Be sure to only capture Wayback links on/before these listed dates.3. Locate (through google searches and media coverage) a social media post announcing the policy, from a verified account of host country's department of government.5. Search a government website of an external country (ending in .gov), e.g. US State Department. This list from the Overseas Advisory Council (OSAC) often has links to the policy from the host country website, and has an archive of recent ""reports"" which have helpful policy descriptions.6. Use a Google search to locate the policy in a major news outlet of the host country7. Use a Google search to locate the policy in a major news outlet of an external country, e.g. restrictions lists provided by Al Jazeera (via wayback) or New York Times (via wayback), or other coverage. - Unable to find better source (if fits within our framework and you think the policy was in place, paste the source that helped you make your decision.) - Text","Read the policy text in the best source available, and the information under the column headers in spreadsheet ""measure"" and ""comments"". Does this policy in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5] constitute a Complete Closure or a Partial Closure? - Selected Choice","Read the policy text in the best source available, and the information under the column headers in spreadsheet ""measure"" and ""comments"". Does this policy in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5] constitute a Complete Closure or a Partial Closure? - I did a full contextual search and found that there was no national-level policy enacted. --> paste additional Wayback links of source used to finalize this choice here, and below, select start date and end date in the timeline you are sure no policy was in place - Text","In which month was the policy first implemented? Locate this date within the policy text of your most reputable sourceIf no date is listed, check other source for a listed start date. If no date is listed in other source, list the date on which the policy text was published of the most reputable source.If no publication date is found in the most reputable source, record the publication date of the other source.Keep in mind most policies around the world will be listed in a DD/MM/YYYY format, and you may have to combine information from the publication date of a source and the policy description, e.g. ""Starting on Monday, no foreigners will be allowed."" - Selected Choice","In which month was the policy first implemented? Locate this date within the policy text of your most reputable sourceIf no date is listed, check other source for a listed start date. If no date is listed in other source, list the date on which the policy text was published of the most reputable source.If no publication date is found in the most reputable source, record the publication date of the other source.Keep in mind most policies around the world will be listed in a DD/MM/YYYY format, and you may have to combine information from the publication date of a source and the policy description, e.g. ""Starting on Monday, no foreigners will be allowed."" - Jan (01) - Text","Which calendar day (1-31) was the policy first implemented? Keep in mind most policies around the world will be listed in a DD/MM/YYYY format. If you're not sure and need a second review, put ""32"" - Selected Choice","Which calendar day (1-31) was the policy first implemented? Keep in mind most policies around the world will be listed in a DD/MM/YYYY format. If you're not sure and need a second review, put ""32"" - Enter number (1-31) here - Text",Which year was this policy first implemented?,"In which month did this policy end (or is set to end in the future)?Locate this date within the policy text of your second source. If no date is listed, select ""no end date found"". Keep in mind most policies around the world will be listed in a DD/MM/YYYY format. - Selected Choice","In which month did this policy end (or is set to end in the future)?Locate this date within the policy text of your second source. If no date is listed, select ""no end date found"". Keep in mind most policies around the world will be listed in a DD/MM/YYYY format. - Feb (02) - Text",Which calendar day (1-31) did this policy end (or is set to end in the future)? Keep in mind most policies around the world will be listed in a DD/MM/YYYY format. - Selected Choice,Which calendar day (1-31) did this policy end (or is set to end in the future)? Keep in mind most policies around the world will be listed in a DD/MM/YYYY format. - Enter number 1-31 here - Text,Which year did this policy end (or is set to end in the future)?,"Does this Complete Closure in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5] make a citizen-related exception (including citizens, permanent residents, and/or family members of citizens and permanent residents)? List separated by commas. - Selected Choice","Does this Complete Closure in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5] make a citizen-related exception (including citizens, permanent residents, and/or family members of citizens and permanent residents)? List separated by commas. - Yes - Text","Does this Partial Closure in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5] apply to a land, sea and/or air border? List the impacted country or countries, separated by commas. See this list for uniform spelling of country names.) - Selected Choice","Does this Partial Closure in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5] apply to a land, sea and/or air border? List the impacted country or countries, separated by commas. See this list for uniform spelling of country names.) - Air (specific), commercial flights from specific countries suspended OR some but not all commercial airports closed, e.g. enter ""Indonesia"" for ""all access both inbound and outbound from airports in Papua"" [specify Papua in the upcoming notes question] - Text","Does this Partial Closure in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5] apply to a land, sea and/or air border? List the impacted country or countries, separated by commas. See this list for uniform spelling of country names.) - Land (specific), e.g. enter ""Afghanistan, Pakistan"" for ""border closed to Afghanistan and Pakistan"" - Text","Does this Partial Closure in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5] apply to a land, sea and/or air border? List the impacted country or countries, separated by commas. See this list for uniform spelling of country names.) - Sea (specific), e.g. enter ""Italy"" for ""ferries cancelled to/from Italy"" - Text","Does the Partial Closure in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5] impact travelers based on their status? Select category and, if applicable, list the impacted country or countries, separated by commas. See this list for uniform spelling of country names.) - Selected Choice","Does the Partial Closure in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5] impact travelers based on their status? Select category and, if applicable, list the impacted country or countries, separated by commas. See this list for uniform spelling of country names.) - Yes, based on citizenship: this policy specifies foreign nationals from one country or group of countries, e.g. for ""entry to the country is denied to foreign nationals from Austria, Belgium, and France"" enter ""Austria, Belgium, France"" - Text","Does the Partial Closure in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5] impact travelers based on their status? Select category and, if applicable, list the impacted country or countries, separated by commas. See this list for uniform spelling of country names.) - Yes, based in travel history: this policy specified travelers who, regardless of nationality, have recently travelled  through or from a specified country or group of countries, e.g. for ""All travelers who have been to or travelled through China, Hong Kong, Iran, Italy, and Japan are advised to not enter the country, and may be denied entry"" enter ""China, Hong Kong, Iran, Italy, Japan"" - Text","Does the Partial Closure in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5] impact travelers based on their status? Select category and, if applicable, list the impacted country or countries, separated by commas. See this list for uniform spelling of country names.) - Yes, but unclear language between the two above categories, e.g. enter ""Italy"" for ""all from Italy will be denied entry"" - Text","Does the Partial Closure in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5] impact travelers based on their status? Select category and, if applicable, list the impacted country or countries, separated by commas. See this list for uniform spelling of country names.) - Yes, using the language of ""asylum seekers"" and/or ""refugee"" (list any countries named in the policy text) - Text",Does the Partial Closure in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5] impact new visa seekers? - Selected Choice,"Does the Partial Closure in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5] impact new visa seekers? - Yes, specific visa seekers, e.g. enter ""China"" for ""visas suspended to foreign nationals from China"" - Text",Does the Complete Closure in [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5] make an exception for specific work permit status holders?,"Does the Complete Closure [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5] make an exception for nationals from a specific country or listed set of countries (up to 10)? If yes, from which one(s)? See this list for uniform spelling of country names.) - Selected Choice","Does the Complete Closure [QID13-ChoiceTextEntryValue-4] with ID#[QID13-ChoiceTextEntryValue-5] make an exception for nationals from a specific country or listed set of countries (up to 10)? If yes, from which one(s)? See this list for uniform spelling of country names.) - Yes - Text",Notes or extra sources - Selected Choice,Notes or extra sources - Anything else we should know about this entry? (please keep info concise and clear) - Text,Notes or extra sources - Any other sources you used for this decision? (please include Wayback link) - Text,Score
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're coding an unassigned policy, generate a new policy ID with your initials and a number counting up, starting with 1, e.g. ""MS2""",Greece,GRC,387,"No, it is none of the above.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're coding an unassigned policy, generate a new policy ID with your initials and a number counting up, starting with 1, e.g. ""MS2""",Greece,GRC,388,"No, it is none of the above.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're coding an unassigned policy, generate a new policy ID with your initials and a number counting up, starting with 1, e.g. ""MS2"",Check if you are clarifying a mistake on a previous policy already submitted.",Brazil,BRA,2216,"Yes/Unsure, e.g. ""Saudi Arabia bans all foreigners and citizens from entering""",3. International Insurance Industry: SOS [PROXY SOURCE],,,"Wayback snapshot link to IATA,7",https://web.archive.org/web/20200327034512/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,,,,,,,,,,,,,,"Partial Closure: a new policy which restricts access of specific groups of people, whether by certain nationalities, travel histories; those entering through a specified land, sea or air border; OR all land borders closed OR all air borders closed OR all sea borders closed (but not all three)",,Mar (03),,Enter number (1-31) here,25,,Jul (07),,No end date found,,,,,No,,,,"Yes, based in travel history: this policy specified travelers who, regardless of nationality, have recently travelled  through or from a specified country or group of countries, e.g. for ""All travelers who have been to or travelled through China, Hong Kong, Iran, Italy, and Japan are advised to not enter the country, and may be denied entry"" enter ""China, Hong Kong, Iran, Italy, Japan""",,"Entry to Brazil is denied for those arriving from the EU, UK, Iceland, Japan, Republic of Korea, Malaysia, Norway, China, Australia, and Switzerland. These travellers may transit through Brazil as long as they do not leave the airport, which makes if this is a air ban ambiguous.",,,,,,,,,,,5
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're coding an unassigned policy, generate a new policy ID with your initials and a number counting up, starting with 1, e.g. ""MS2""",Greece,GRC,1200,"No, it is only an internal restriction, e.g. Saudi Arabia restricts residents from x region from traveling to y region"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're coding an unassigned policy, generate a new policy ID with your initials and a number counting up, starting with 1, e.g. ""MS2""",Colombia,COL,755,"Yes/Unsure, e.g. ""Saudi Arabia bans all foreigners and citizens from entering""",5. Government website of an external country ending in .gov [EXTERNAL SOURCE],,,,,,,,"Paste Wayback link to SOS,Paste Wayback link to website of external country here,Paste Wayback link to to major news outlet of the host country here",,https://web.archive.org/web/20200320135415/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,,,https://web.archive.org/save/https://co.usembassy.gov/health-alert-u-s-embassy-bogota/,https://www.portafolio.co/economia/gobierno/colombia-cierra-sus-fronteras-539113,,,,"Partial Closure: a new policy which restricts access of specific groups of people, whether by certain nationalities, travel histories; those entering through a specified land, sea or air border; OR all land borders closed OR all air borders closed OR all sea borders closed (but not all three)",,Mar (03),,Enter number (1-31) here,17,,May (05),,Enter number 1-31 here,30,,,,"Land, all land borders closed",,,,,,,,,,,,,,,,,0
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're coding an unassigned policy, generate a new policy ID with your initials and a number counting up, starting with 1, e.g. ""MS2""",Colombia,COL,1043,"Yes/Unsure, e.g. ""Saudi Arabia bans all foreigners and citizens from entering""",5. Government website of an external country ending in .gov [EXTERNAL SOURCE],,,,,,,,"Paste Wayback link to IATA,Paste Wayback link to SOS,Paste Wayback link to website of external country here",https://web.archive.org/web/20200324221528/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,https://web.archive.org/web/20200320135415/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,,,https://web.archive.org/web/20200403230026/https://co.usembassy.gov/health-alert-u-s-embassy-bogota-march-19-2020/,,,,,"Partial Closure: a new policy which restricts access of specific groups of people, whether by certain nationalities, travel histories; those entering through a specified land, sea or air border; OR all land borders closed OR all air borders closed OR all sea borders closed (but not all three)",,Mar (03),,Enter number (1-31) here,23,,Apr (04),,Enter number 1-31 here,22,,,,"Air, all commercial flights suspended",,,,,,,,,,,,,,,,,0
