LF188,NP09
SN47,LV15
SN46,LV14
SN45,LV13
LF189,NP10
SN43,LV11
SN42,LV10
SN41,LV09
SN40,LV08
11942,GE04
6996,CO05
1150,BN04
SN49,LV17
SN48,LV16
5515,CN12
54,AZ01
53,PT06
539,AE03
MW27,NG09
5601,BE01
JF63,TM04
206,NZ01
CJ8,CN10
CJ9,CN11
208,TM01
CJ2,HK02
CJ6,CN08
CJ7,CN09
CJ4,CN06
CJ5,CN07
NL78 ,NF03
NL143,GR15
NL140,GR12
NL141,GR13
NL146,GR18
NL147,GR19
NL144,GR16
NL145,GR17
MG53,FI03
MG52,FI14
MG51,FI13
MG50,FI12
4294,ML02
119159,PS06
TN100,MN04
TN101,MN05
TN105,MG01
SN97,PA03
MH02,MH06
MH01,MH05
MH07,MH09
MH06,MH08
MH08,MH10
229,US02
228,AG03
226,DM01
2217,BR04
2216,BR17
2214,BH05
2219,IL02
2218,BR03
6693,MA01
153,ID01
158,EU11
NL135,PL06
2430,BF03
2434,HU08
JF12,AT13
JF10,KR02
ES7,CO07
ES6,BR08
ES5,MX01
ES4,SV03
ES3,CO09
ES2,CO06
LF89,LT10
NL134,GR04
4510,HK01
LF83,SI03
ES8,KZ02
11641,BR10
LF64,LU03
LF65,LU04
LF66,LU05
LF67,LU06
LF60,BE03
LF68,LU07
LF69,LU02
MW59,TR12
MW58,TR11
MW52,OM11
MW51,OM10
MW50,QA04
MW57,OM14
MW56,OM13
MW54,OM12
EB103,GI02
EB102,GI01
EB101,BH03
EB100,BH02
EB107,KY05
EB106,KY02
EB105,KY06
EB104,KY01
EB108,VG03
LF7,DE15
17571,AM02
NL51,CC15
NL50,CC14
NL53,CC17
NL52,CC16
NL57,CC19
NL56,CC18
NL59,CC21
NL58,CC20
LF8,DE16
810,SD01
12934,BR02
EB169 ,GI04
5460,BR06
LF173,FI22
LF172,FI21
LF171,FI20
LF170,FI18
LF177,FI25
LF176,FI24
LF175,FI23
LF174,FI19
LF179,FI27
LF178,FI26
424,LV03
1391,QA02
HR13,PL02
HR12,WS03
3812,SI01
SN70,SI04
SN76,LV22
SN77,LV23
SN75,LV21
15927,LY02
1125,BR11
523,HU02
1016,CM01
NL148,GR20
NL149,GR21
12849,EC03
119010,WS01
306,SA04
4357,MM01
MG,GL01
6500,CY19
117986,KN01
MM8,CL02
MM5,RO27
MM7,CL04
MM6,RO03
MM1,IT01
MM3,IT06
MM2,IT08
CH92,LA07
CH93,KH07
CH91,LA06
CH94,KH08
5703,SG06
MY03,MY07
MY04,MY06
MT10,MT13
MW70,RU12
MS44,LC05
MS41,VI02
LF41,BE06
239,LC07
ES22,PY09
ES23,PY03
12692,LT04
12690,LT08
LF45,CH11
4881,BS02
LF48,CH06
147,KI02
144,TO01
140,FJ01
SN82,CZ12
JF28,DZ02
JF29,DE11
JF22,HR05
JF20,HR03
JF21,HR02
JF27,DZ01
JF24,HR06
JF25,IS02
LF91,LT12
LF90,LT11
LF92,LT13
140478,JO05
LF77,NP04
MW67,VE04
MW64,RU09
3341,MU01
LF73,AM04
LF72,AM01
MW60,ER02
LF70,LU08
LF79,NP05
LF78,NP07
ES19,GT06
ES18,GT05
ES13,RS01
7228,LA02
ES11,BG03
ES10,KG04
ES17,NI02
ES15,BR12
EB118,MV08
EB119,CK05
1835,SC01
EB114,ME05
EB115,ME04
EB116,MQ01
HR6,PW01
HR1,MT01
EB113,VC01
2402,ES01
933,BJ03
932,AL05
12272,ZA03
2159,MT07
934,BJ01
10522,NG01
10521,SS03
1956,ZW01
EB175 ,CY41
14063,SB05
11902,CO03
11904,CO04
827,CH02
EB165,SX11
9016,BR16
DT43,MN06
1486,EC01
793,IQ01
792,TD02
LF164,CH16
LF165,CH17
1719,LR02
DT47,UG03
LF160,CH12
LF161,CH13
LF162,CH14
LF163,CH15
CH10,DM02
1138,SV02
SN69,SE07
SN68,MZ04
SN65,CV03
SN64,CV01
SN67,MZ02
SN60,AO03
SN63,AO06
4066,TM02
11508,RO28
513,MD04
627,LK08
12872,SK02
624,MU08
10141,PH02
ES24,PY04
MG302,AW02
MG301,AW03
8619,LT02
CH85,MM06
CH87,VN05
CH86,VN04
CH81,MM04
CH80,MM03
CH82,MM05
NL160,GR32
CH88,VN06
3876,JO04
12472,IQ09
18,BA01
5710,SG04
4765,TH02
6742,VN08
11483,KW07
11248,ID03
SN34,LV25
SN30,SK08
MS59,MV06
MS58,MV03
MS57,MV02
LF1051,AT28
MS55,SX02
MS54,SX01
MS53,CW06
MS51,NP02
686,JO03
16114,NL12
SN38,LV06
JF35,TN09
JF34,TN03
JF37,IS01
JF36,IS04
JF31,HR01
JF33,KR01
3657,GQ02
2098,BJ02
2521,DM03
LF42,AT18
LF43,AT17
LF40,CH07
ES25,BO03
LF46,CH04
LF47,CH05
ES20,ES11
ES21,BR13
2704,CD02
9373,PH01
LF49,NL03
ES29,AR06
SN101,TZ02
EB161,AG08
EB160,BS04
EB163,SX09
EB162,AG09
4400,LT07
EB164,SX10
EB167,AS19
EB166,SX12
2412,ES08
2418,KE05
3477,LS03
834,CH03
8543,TL01
SH28,GQ07
LF119,BE15
LF118,BE14
786,TR05
787,SO01
LF111,BE07
LF110,AT25
LF113,BE09
LF112,BE08
LF115,BE11
LF114,BE10
LF117,BE13
LF116,BE12
SN18,PT03
SN19,PT04
SN10,BZ05
SN12,MF02
SN14,MF01
15947,MD01
SN16,WF01
SN17,PT02
67,AM03
NT1490,TD03
NT1491,TD04
508,FM02
504,KH03
633,JP11
634,RU04
635,RU06
WY18,PW02
WY12,MT06
WY11,MT05
WY15,KN02
2897,KN03
1454,MH03
1455,CI03
1104,BH04
1457,CI01
38121,SI05
38123,SI07
38122,SI06
38125,SI09
38124,SI08
3862,GE05
789,TN06
NL120,AU05
NL121,SD04
MG205,CW08
MG204,CW07
MG203,CW05
6418,GH01
MG200,AW01
140076,HU05
214,BD01
212,KM02
213,MG05
211,BD02
MS62,LC04
MS63,LK04
MS60,MV04
MS61,MV05
MS66,SJ01
MS67,AX05
MS64,LK05
LF81,NP08
JF40,UZ01
JF41,UZ02
JF43,NO05
JF44,NO07
JF45,KR04
JF47,TM03
JF48,IS06
JF49,TN08
SN15,PM01
16307,PH04
2551,CA06
11474,CG01
ES31,CR06
ES30,KW09
ES33,GT08
ES32,KZ03
LF59,BE05
LF58,BE04
ES37,US18
ES36,BO04
ES39,BG08
LF54,NL10
LF57,NL06
LF56,NL05
LF51,NL02
LF50,NL04
LF53,NL09
LF52,NL08
2724,ET01
EB178,CC35
EB172,CY38
EB173,CY39
EB171,CY37
EB176,CY42
EB177,CY43
EB174,CY40
2172,PH05
915,WS02
917,TO02
PY04,PY11
1936,MW03
1935,MW01
3266,MZ05
1939,AL01
NL88,JP03
NL89,JP10
840,NZ02
NL82,NR02
NL80,GP02
NL81,JP04
NL86,JP12
7234,LA03
849,AR02
NL85,JP02
1192,PA01
LF108,AT23
LF109,AT24
LF102,AT20
LF103,AT21
LF101,AT19
LF107,AT22
LF104,AT26
LF105,AT27
NH05,MH07
755,CO01
CL05,CL06
2958,BR14
1024,AZ02
1026,AZ03
1021,AZ05
1023,AZ04
16549,SC08
137791,CR03
137972,JP05
MG6,PL01
12898,HU06
WY20,PG04
1202,IQ05
3105,GT07
1447,TR03
1446,TR04
1445,TR10
1115,KM01
CH37,FR07
485,DK03
482,KG03
CH33,HT01
LF203,LT16
LF202,HU19
NT1066,LV45
LF206,LT18
LF209,LT21
6725,VN03
LF208,LT20
5654,TT02
MG104,FI16
MG102,GL04
MG103,IE01
JF51,IS03
JF57,HR04
2540,GD01
1456,CI04
MS75,MS01
2380,SE01
MS77,TC01
MS76,BL01
MS71,EH01
MS73,IM01
MS72,PN01
11448,LA01
MS79,NF01
MS78,MP01
LF28,AT09
LF29,AT11
2283,BG02
EB14 ,AG05
LF20,DE09
LF21,AT01
LF22,AT02
LF23,AT03
LF24,AT04
LF25,AT05
LF26,AT07
LF27,AT08
EB147,CY34
EB146,CY33
EB145,CY32
EB144,CY31
EB143,CY30
EB142,CY29
EB141,CY28
EB140,CY27
7901,HU07
EB149,KN04
EB148,CY35
900,BA03
1848,ZA01
1843,SC07
BW36,CL05
BW37,MD02
BW30,US11
BW31,US17
BW32,US13
BW33,US14
BW38,MD03
BW39,IT09
NL95,GR03
NL94,GR02
NL97,GR01
NL96,GR05
NL91,GR06
NL90,JP09
NL93,GR07
5132,PG03
6,AF02
LF5,DE14
10248,SC11
LF6,DE19
LF1,DE01
LF2,DE02
LF9,DE17
9020,CY20
7177,KH06
1055,BS03
MM42,PE07
MM40,IT10
MM41,IT11
1699,BZ02
1279,GQ03
118505,AU08
612,MK04
1276,MK01
MG202,CW04
SN36,LV04
SN37,LV05
1470,CU02
SN32,SK07
1474,DO02
SN31,SK03
8640,MT03
SN39,LV07
1305,SZ01
MM35,RO22
1302,SZ02
CJ18,TW05
CJ19,SG05
CJ14,MY03
CJ15,SG07
CJ16,CN13
497,NA07
CJ10,CN01
CJ11,CN02
CJ12,CN03
CJ13,CN04
27,AL07
15361,GD03
1810,PK03
JF7,NO01
JF6,NO02
JF4,NO03
mm9,IT05
EB156,PH12
TN1000,BD06
MG1,DK04
MG7,PL03
mm25,RO26
MG5,DK02
MG4,DK01
MG9,PL05
MG8,PL04
CH34,HT02
SH1,XK02
SH2,XK03
SH3,XK01
SH4,AL02
SH5,AL09
SH6,AL08
SH7,AL03
SH8,AL04
SH9,AL06
CH38,PF01
CH39,PF02
10876,FR01
2289,BG01
3661,GQ01
JF68,JP17
JF69,CA07
JF66,DZ08
JF67,JP16
JF64,IS07
JF65,IS08
JF62,IS05
MT11,MT14
JF60,CA04
JF61,UZ05
137830,MD07
NL29,CC05
2378,AE05
2375,TR02
LF39,EU02
LF38,EU10
LF33,CH10
LF32,CH09
LF31,CH01
LF30,AT12
LF37,EU09
LF36,EU01
LF35,EU08
LF34,EU06
EB150,KN05
EB151,PH07
EB152,PH08
EB153,PH09
EB154,PH10
EB155,PH11
1870,SC03
EB157,KN06
EB158,KN07
EB159,GP04
979,SB02
BW27,VA01
BW26,IT04
BW23,US10
BW22,US09
BW21,BY01
BW29,US12
BW28,PE02
9585,ST01
1911,MR01
JF84,NG07
JF85,NG08
JF86,GR34
JF87,GR35
JF80,KE07
JF83,NO08
JF88,GR36
JF89,GR37
2757,GN02
2023,IL05
LF120,BE16
LF121,BE17
10477,FR09
LF123,BE19
LF124,BE20
LF125,BE21
JF100,GR41
JF101,GR42
JF102,GR43
775,IN06
777,IN01
2978,BR09
74,VE01
1043,CO02
PW03,PW06
665,PK02
664,PK01
1267,GW01
1264,NP06
3126,RU02
SN21,PT07
SN20,PT05
SN23,SE02
SN22,SE08
SN25,SE04
SN24,SE09
SN27,SK01
SN26,SE05
SN29,SK06
SN28,SK04
EB125,AS14
WY5,WS06
WY4,PG01
218,CY01
5755,SG03
EB121,GD08
12438,FR04
WY1,HT03
EB98,BH06
EB99,BH07
LF245,EE09
EB97,CY18
EB95,CY17
EB92,PK10
LF240,SI10
EB90,BN02
EB91,PK07
7721,BG06
EB74,CY11
EB75,CY12
EB76,CY13
EB77,CY14
EB70,CY07
EB71,CY08
EB72,CY09
EB73,CY10
312,SK05
310,SA11
EB78,CY16
8328,CD03
6701,MA02
CH27,TT01
CH24,SC10
CH23,SC06
CH22,SC09
CH20,LC06
EB120,BH08
JF79,KE06
JF78,NO06
TN01BONAIRE,BQ09
MT08,MT10
JF71,KR05
JF70,CA08
JF73,IS09
MT04,MT09
JF75,PL07
MT02,MT08
MT01,MT11
JF76,PL08
DT04,MO03
2569,BI06
LM38,IQ07
LM35,DZ03
2563,CA01
LM37,IQ06
LM30,ZA05
LM31,MN02
LM32,LK06
DT01,HK10
MS13,HN01
MS12,SL02
MS10,US03
MS16,SS02
MS15,ZA02
MS14,SO02
ND1,PL09
17335,CA03
17445,FI08
17447,FI09
17448,FI10
1861,IL06
1869,SC02
966,SB03
LF122,BE18
BW10,UY02
BW11,UZ04
BW16,US07
BW17,US08
BW14,US06
2103,NG05
BW19,PW05
2634,US01
JF97,NO10
JF96,NO09
JF95,IS10
JF94,CA10
JF92,GR40
JF91,GR39
JF90,GR38
JF99,NO11
2033,PE01
4847,FI04
2038,TG02
647,MV01
SG01,SG08
SG06,SG09
SG07,SG10
SG05,SG12
NT9,SN06
1781,IN04
760,CO10
761,CO08
766,MG04
1785,IN05
1786,IN02
MM20,RO08
MM21,RO09
MM22,RO10
MM23,RO11
MM24,RO12
MM26,RO13
MM27,RO14
MM28,RO15
MM29,RO16
TW07,TW07
1078,AU02
TW09,TW09
TW08,TW08
LF2391,EE12
1090,MZ01
1093,CV02
NT5,DJ02
NT4,DJ03
