ID,TRAVEL HISTORY_LIST,VISA_LIST,COUNTRY_EXCEP,https://web.archive.org/web/20200316164353/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
214,,,NA,https://web.archive.org/web/20200317212546/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
218,NA,NA,No,https://web.archive.org/web/20200329223150/https://www.arubacovid19.org/ddg
226,,,NA,https://web.archive.org/web/20200312155950/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
228,"China, Italy, Iran, Japan, Korea, Singapore",,NA,https://web.archive.org/web/20200321042907/https://www.australia.gov.au/
229,China ,,NA,
239,"China, Hong Kong, North Korea, South Korea, Japan, Italy, Singapore",,NA,https://web.archive.org/web/20200403034458/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
243,,,NA,
252,,,NA,
259,NA,NA,No,
270,,,,
271,,,NA,
273,,,NA,
284,,,NA,https://web.archive.org/web/20200406010509/https://www.sbs.com.au/news/wa-set-for-hard-border-closure-to-combat-coronavirus-spread
285,,,,https://web.archive.org/web/20200316170344/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
286,,,NA,https://web.archive.org/web/20200316170344/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
287,,,NA,https://web.archive.org/web/20200314173002/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
288,,,,https://web.archive.org/web/20200314232415/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
289,,,NA,https://web.archive.org/web/20200403034458/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
290,,,NA,https://web.archive.org/web/20200314171035/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
291,"China, Italy, Iran, South Korea",,NA,https://web.archive.org/web/20200320221342/https://az.usembassy.gov/covid-19-information-for-azerbaijan/
293,,,NA,https://web.archive.org/web/20200320225643/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
294,,,NA,https://web.archive.org/web/20200601011208/https://nk.gov.az/az/article/790/
299,"China, Italy, Iran, South Korea",,NA,https://web.archive.org/web/20200314171035/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
300,,,NA,
301,,,,https://web.archive.org/web/20200319224612/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
302,,,NA,https://web.archive.org/web/20200326021647/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
303,,,NA,https://web.archive.org/web/20200319030232/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
305,"China, Hong Kong, Iran, Macao",,NA,https://web.archive.org/web/20200320135415/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
306,"Austria, Belgium, China, Denmark, France, Germany, Iran, Iraq, Italy, North Korea, South Korea, Netherlands, Norway, Spain, Sweden",,NA,https://web.archive.org/save/https://www.evisa.gov.bh/VISA/visaInput?nav=A0S&A0S=a
308,NA,NA,Unclear,https://web.archive.org/web/20200316164353/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
310,,,NA,https://web.archive.org/web/20200316164353/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
312,NA,NA,No,https://web.archive.org/web/20200327042219/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
316,,,NA,https://web.archive.org/web/20200501174105/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
328,,,NA,https://web.archive.org/web/20200404064856/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
330,,,NA,https://caab.portal.gov.bd/site/notices/e9172346-d6db-425c-854d-75007c5529fa/Suspension-of-Schedule-International-Flights-To-From-bd
331,"China, Hong Kong, Macao",,NA,
335,,,NA,
342,,,,
346,,,NA,
347,"China, South Korea, Italy, Iran, Japan, Singapore",,NA,https://web.archive.org/web/20200416191901/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
355,,,NA,http://web.archive.org/web/20200323195230/http://health.gov.bz/www/component/content/article/177-general-health/1025-new-measures-announced-to-protect-against-covid-19
356,Tourists,,NA,http://web.archive.org/web/20200323195230/http://health.gov.bz/www/component/content/article/177-general-health/1025-new-measures-announced-to-protect-against-covid-19
362,NA,NA,No,http://web.archive.org/web/20200430161255/http://health.gov.bz/www/component/content/article/177-general-health/1022-ministry-of-health-advisory-no-11-update-on-covid-19
370,,,NA,http://web.archive.org/web/20200323195354/http://health.gov.bz/www/component/content/article/177-general-health/1024-belize-announces-new-measures-in-response-to-covid-19
377,,,NA,http://web.archive.org/web/20200323195354/http://health.gov.bz/www/component/content/article/177-general-health/1024-belize-announces-new-measures-in-response-to-covid-19
384,,,,https://web.archive.org/save/http://health.gov.bz/www/component/content/article/177-general-health/1009-government-of-belize-issues-travel-ban-for-travelers-having-recently-visited-china
386,NA,NA,No,http://web.archive.org/web/20200503130408/http://health.gov.bz/www/component/content/article/177-general-health/1027--covid-19-alert-regarding-border-closures
387,,,,
388,,,,https://www.facebook.com/GOBPressOffice/photos/a.150654578303387/2815141491854669/?type=3&theater
390,"China, Germany, Hong Kong, Italy, Iran, Japan, North Korea, South Korea, Macao",,NA,http://web.archive.org/web/20200503130408/http://health.gov.bz/www/component/content/article/177-general-health/1027--covid-19-alert-regarding-border-closures
399,,,NA,https://web.archive.org/web/20200320135415/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screeninghttps://web.archive.org/web/20200320135415/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
403,,,NA,https://web.archive.org/web/20200320135415/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
408,,,NA,https://web.archive.org/web/20200401070500/https://bj.usembassy.gov/info-covid19/
411,,,NA,https://web.archive.org/save/http://www.moh.gov.bt/first-confirmed-covid-19-case-in-bhutan/
413,,,NA,https://web.archive.org/save/http://www.moh.gov.bt/border-gates-to-close-from-today/
424,,,NA,https://web.archive.org/web/20200319224612/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
431,NA,NA,No,https://web.archive.org/web/20200501174105/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
433,,,,https://web.archive.org/web/20200404071323/https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/bolivie/
437,,,,https://web.archive.org/web/20200605004933/https://bo.usembassy.gov/covid-19-information/
442,,,NA,https://web.archive.org/web/20200319224612/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
443,,,NA,https://web.archive.org/web/20200601121101/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
445,,,NA,https://web.archive.org/save/https://www.tourismbonaire.com/news-flash/new-bonaire-travel-restrictions-due-to-covid-19
446,"Austria, Belgium, China, Denmark, France, Germany, Iran, Iraq, Italy, North Korea, South Korea, Netherlands, Norway, Spain, Sweden",,NA,https://web.archive.org/web/20200628163118/https://www.tourismbonaire.com/news-flash/new-bonaire-travel-restrictions-due-to-covid-19
454,,,,https://web.archive.org/web/20200628163443/https://www.tourismbonaire.com/news-flash/traveling-to-bonaire-becomes-possible-again
457,NA,NA,No,https://web.archive.org/web/20200628163443/https://www.tourismbonaire.com/news-flash/traveling-to-bonaire-becomes-possible-again
458,NA,NA,No,https://web.archive.org/web/20200314173002/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
467,,,NA,https://web.archive.org/save/http://www.vijeceministara.gov.ba/saopstenja/sjednice/saopstenja_sa_sjednica/default.aspx?id=32556&langTag=en-US
469,,visas are suspended until further notice,NA,
470,NA,NA,No,
474,NA,NA,No,https://web.archive.org/web/20200321095613/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
482,,,NA,https://web.archive.org/web/20200404004100/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
485,,,NA,https://web.archive.org/web/20200404004100/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
489,,,NA,https://web.archive.org/web/20200404004100/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
493,,,,
496,,,NA,https://web.archive.org/web/20200321064804/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
497,NA,NA,No,https://web.archive.org/web/20200327034512/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
504,"France, Germany, Italy, Spain, United States of America",,NA,https://web.archive.org/web/20200320135415/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
506,,,NA,https://web.archive.org/web/20200320135415/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
508,Countries with confirmed cases of Covid-19,,NA,https://web.archive.org/web/20200328232842/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
513,,,NA,https://web.archive.org/web/20200404004100/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
523,,,NA,https://web.archive.org/web/20200404004100/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
538,,,NA,https://web.archive.org/web/20200410211424/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
539,,,NA,https://web.archive.org/web/20200410211424/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
540,,,NA,https://web.archive.org/web/20200504210823/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
545,NA,NA,No,https://web.archive.org/web/20200504210823/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
550,,,,https://web.archive.org/web/20200504210823/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
552,,,NA,https://web.archive.org/web/20200603002257/http://www.in.gov.br/en/web/dou/-/portaria-n-255-de-22-de-maio-de-2020-258114133
554,,,,https://web.archive.org/web/20200529090216/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
556,NA,NA,No,https://web.archive.org/web/20200520214849/http://www.moh.gov.bn/Shared%20Documents/2019%20ncov/press%20releases/FINAL_ENG_MEDIA%20STATEMENT%20COVID-19%20(17.03.2020).pdf
559,NA,NA,No,https://web.archive.org/web/20200504212259/http://www.moh.gov.bn/Shared%20Documents/2019%20ncov/press%20releases/Media%20statement%20on%20the%20current%20situation%20of%20COVID-19%20in%20Brunei%20Darussalam%20%2824.03.2020%29.pdf
561,,,NA,https://web.archive.org/web/20200517044416/https://www.mfa.bg/upload/51859/MH-01-183_ENG%20(1).docx
562,NA,NA,No,https://web.archive.org/web/20200323231626/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
572,,"visa on arrival services have been cancelled for 18 countries and visa exemptions suspended for Hong Kong, Italy and South Korea passport holders",NA,
573,,,NA,https://web.archive.org/web/20200319224612/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
574,NA,NA,No,https://web.archive.org/save/https://bnr.bg/en/post/101241571/bulgaria-suspends-international-train-services
579,,,NA,
588,,,NA,https://web.archive.org/web/20200327232300/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
591,,,,https://web.archive.org/web/20200401095721/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
592,,,NA,https://web.archive.org/web/20200401095721/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
596,NA,NA,No,https://twitter.com/MAEBurundi/status/1240618332769988613?s=20
612,,,NA,https://twitter.com/indundimag/status/1243487389806407681?s=20
623,"Norway, Switzerland, United Kingdom, Austria, Belgium, Bulgaria, Croatia, Republic of Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden",,NA,https://twitter.com/JimbereMag/status/1246348765138694145
624,Reunion,,NA,https://twitter.com/JimbereMag/status/1251192341697908744/photo/1
625,,"Iran, Italy and South Korea",NA,https://web.archive.org/web/20200324122337/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
626,,,NA,https://web.archive.org/web/20200323231626/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
627,,,,https://web.archive.org/web/20200323231626/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
633,"China, Korea, Iran, Iceland, Ireland, Andorra, Italy, Estonia, Austria, Netherlands, San Marino, Switzerland, Sweden, Spain, Slovenia, Denmark, Germany, Norway, Holy See (Vatican City State), France, Belgium, Portugal, Malta, Monaco, Liechtenstein, Luxembourg",,NA,
634,"China, South Korea, Italy, and Iran",,NA,https://web.archive.org/web/20200625191417/https://cv.usembassy.gov/covid-19-information/
635,,,NA,https://web.archive.org/web/20200625191417/https://cv.usembassy.gov/covid-19-information/
644,,,NA,https://web.archive.org/web/20200625191417/https://cv.usembassy.gov/covid-19-information/
646,,,NA,
647,"France, Germany, Spain",,NA,
652,,,,
656,NA,NA,No,https://web.archive.org/web/20200316130622/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
658,,,NA,https://web.archive.org/web/20200425023450/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
664,,,NA,https://web.archive.org/web/20200621113610/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
665,,,NA,
685,NA,NA,No,https://web.archive.org/web/20200321064804/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
688,,,NA,https://web.archive.org/web/20200321064804/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
694,,,NA,
696,NA,NA,No,
699,,,NA,https://web.archive.org/web/20200320135415/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
703,,,NA,
704,,,NA,https://web.archive.org/web/20200326161731/https://pm.gc.ca/en/news/news-releases/2020/03/20/prime-minister-announces-temporary-border-agreement-united-states
713,,,NA,https://web.archive.org/web/20200326161818/https://pm.gc.ca/en/news/news-releases/2020/03/16/prime-minister-announces-new-actions-under-canadas-covid-19-response
718,,,,https://web.archive.org/web/20200427194154/https://www.canada.ca/en/border-services-agency.html
720,NA,NA,Unclear,https://web.archive.org/web/20200530212132/https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-centrafricaine/
723,,,NA,https://web.archive.org/web/20200530212132/https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-centrafricaine/
728,,,,https://web.archive.org/web/20200530212132/https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-centrafricaine/
731,NA,NA,United States,https://web.archive.org/web/20200320135415/http://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
735,,,NA,https://www.facebook.com/sggtchad/photos/a.1413843668653340/2975288452508846/?type=3&theater
736,,,NA,https://www.facebook.com/sggtchad/photos/pcb.3011147808922910/3011147635589594/?type=3&theater
740,,,,https://web.archive.org/web/20200323231626/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
741,,,NA,https://web.archive.org/web/20200506221017/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
755,,,NA,
760,,,NA,
761,NA,NA,No,https://web.archive.org/web/20200327173542/https://www.fmprc.gov.cn/mfa_eng/wjbxw/t1761867.shtml
762,,,,
766,,,NA,
775,,,NA,
777,,,NA,
786,,,NA,
787,,,NA,https://web.archive.org/web/20200324043054/https://www.info.gov.hk/gia/general/202003/24/P2020032400050.htm
789,"China, Iran, Italy, South Korea ",,NA,https://web.archive.org/web/20200320135415/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
790,NA,NA,No,https://web.archive.org/web/20200320135415/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
791,NA,NA,"Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, United Arab Emirates",https://web.archive.org/web/20200320135415/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
792,,,NA,https://web.archive.org/web/20200324221528/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
793,,,NA,https://web.archive.org/web/20200421185145/https://coronaviruscolombia.gov.co/Covid19/acciones/acciones-20-abril.html
795,,,NA,https://web.archive.org/web/20200524174843/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
