ID,COUNTRY_NAME,ISO3,ISO2,POLICY_TYPE,POLICY_SUBTYPE,START_DATE,END_DATE,AIR,AIR_TYPE,TARGETS_AIR,LAND,LAND_TYPE,TARGETS_LAND,SEA,SEA_TYPE,TARGETS_SEA,CITIZEN,CITIZEN_LIST,HISTORY_BAN,HISTORY_BAN_LIST,REFUGEE,REFUGEE_LIST,VISA_BAN,VISA_BAN_TYPE,VISA_BAN_LIST,CITIZEN_EXCEP,CITIZEN_EXCEP_LIST,COUNTRY_EXCEP,COUNTRY_EXCEP_LIST,WORK_EXCEP,SOURCE_TYPE,INTERNAL_GOVT_SOURCE,AIRLINE_SOURCE,INSURANCE_SOURCE,GOVT_SOCIAL_MED_SOURCE,EXT_GOVT_SOURCE,INTERNAL_MEDIA_SOURCE,EXT_MEDIA_SOURCE,OTHER_SOURCE,END_SOURCE
6693,Morocco,MAR,MA,PARTIAL,BORDER_CLOSURE,03_08_20,03_15_20,1,Specific,Italy,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,"1,3",https://web.archive.org/save/http://www.maroc.ma/en/news/coronavirus-ram-temporarily-suspends-sunday-flights-milan-and-venice,,https://web.archive.org/web/20200313010930/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,,,,,,https://web.archive.org/web/20200611184550/http://www.maroc.ma/en/news/morocco-suspends-all-international-passenger-flights-its-territory
6701,Morocco,MAR,MA,PARTIAL,BORDER_CLOSURE,03_15_20,NONE,1,All,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,"1,3",https://web.archive.org/web/20200611184550/http://www.maroc.ma/en/news/morocco-suspends-all-international-passenger-flights-its-territory,,https://web.archive.org/web/20200316164353/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,,,,,,
6724,Viet Nam,VNM,VN,PARTIAL,BORDER_CLOSURE,02_05_20,NONE,1,Specific,China (People's Rep.),1,Specific,China (People's Rep.),1,Specific,China (People's Rep.),0,NA,0,NA,0,NA,0,NA,China,0,NA,0,NA,0,1,https://web.archive.org/web/20200605162614/https://lanhsuvietnam.gov.vn/Lists/BaiViet/B%C3%A0i%20vi%E1%BA%BFt/DispForm.aspx?List=dc7c7d75%2D6a32%2D4215%2Dafeb%2D47d4bee70eee&ID=1007,,,,,,,,
6725,Viet Nam,VNM,VN,PARTIAL,BORDER_CLOSURE,01_28_20,NONE,0,NA,NA,1,Specific,China (People's Rep.),0,NA,NA,0,NA,0,China,0,NA,0,NA,NA,0,NA,0,NA,0,1,https://web.archive.org/web/20200920153702/https://moh.gov.vn/web/dich-benh/phong-chong-dich-covid-19/-/asset_publisher/lcrTD0LmHjOu/content/chi-thi-so-05-ct-ttg-ve-viec-phong-chong-dich-benh-viem-uong-ho-hap-cap-do-chung-moi-cua-vi-rut-corona-gay-ra?inheritRedirect=false&redirect=https%3A%2F%2Fmoh.gov.vn%3A443%2Fweb%2Fdich-benh%2Fphong-chong-dich-covid-19%3Fp_p_id%3D101_INSTANCE_lcrTD0LmHjOu%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Drow-0-column-2%26p_p_col_count%3D1,,,,,,,,
6739,Viet Nam,VNM,VN,PARTIAL,BORDER_CLOSURE,02_19_20,NONE,1,Specific,China (People's Rep.),0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,2,,https://web.archive.org/web/20200228232836/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,,,,,,,
6996,Colombia,COL,CO,PARTIAL,BORDER_CLOSURE,04_27_20,05_31_20,1,All,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,1,https://web.archive.org/web/20200421185145/https:/coronaviruscolombia.gov.co/Covid19/acciones/acciones-20-abril.html,,,,,,,,https://web.archive.org/web/20200521024505/https://www.reuters.com/article/us-health-coronavirus-latam-airlines/colombia-follows-argentina-in-banning-all-international-flights-through-august-31-idUSKBN22W2T8
7236,Thailand,THA,TH,PARTIAL,BORDER_CLOSURE,04_21_20,04_30_20,1,Specific,KLM will cease operations from Bangkok. JAL plans to reduce daily flights from Bangkok to twice per week. ,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,8,,,,,,,,https://www.osac.gov/Country/Thailand/Content/Detail/Report/c8cb1d99-24b9-489e-87b1-187f9f88a0b1,
7238,Thailand,THA,TH,PARTIAL,BORDER_CLOSURE,04_27_20,05_31_20,1,Specific,incoming international flights,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,8,,,,,,,,https://www.osac.gov/Country/Thailand/Content/Detail/Report/07c82f46-d6ec-4e0d-86ca-188bd75119b5,
7257,Bangladesh,BGD,BD,PARTIAL,BORDER_CLOSURE,03_21_20,04_01_20,1,Specific," Bahrain, India, Kuwait, Malaysia, Oman, Qatar, Saudi Arabia, Singapore, Turkey, United Arab Emirates",0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,2,,https://web.archive.org/web/20200327042219/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,,,,,,,
7262,Bangladesh,BGD,BD,PARTIAL,BORDER_CLOSURE,03_13_20,03_21_20,1,Specific,"Bahrain, Bhutan, Hong Kong, India, Kuwait, Malaysia, Maldives, Oman, Qatar, Saudi Arabia, Sri Lanka, Singapore, Thailand, Turkey, United Arab Emirates, United Kingdom",0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,2,,https://web.archive.org/web/20200501174105/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,,,,,,,
7265,Bangladesh,BGD,BD,PARTIAL,BORDER_CLOSURE,04_01_20,05_31_20,1,Specific,"Bahrain, Bhutan, Hong Kong, India, Kuwait, Malaysia, Oman, Qatar, Saudi Arabia, Sri Lanka, Singapore, Thailand, Turkey, United Arab Emirates ",0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,2,,https://web.archive.org/web/20200404064856/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,,,,,,,
7389,Guyana,GUY,GY,PARTIAL,BORDER_CLOSURE,03_18_20,10_12_20,1,All,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,"1,2",https://web.archive.org/web/20200530212716/https://dpi.gov.gy/government-covid-19-advisories-4/,https://web.archive.org/web/20200422012032/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,,,,,,,
7721,Bulgaria,BGR,BG,PARTIAL,BORDER_CLOSURE,04_15_20,07_16_20,1,Specific,"Italy, Spain, France, the United Kingdom, Northern Ireland, Germany, the Netherlands, Switzerland, Austria, Belgium, Iceland, Liechtenstein, Luxembourg",0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,6,,,,,,https://web.archive.org/web/20210324232850/https://bnt.bg/news/bulgaria-temporary-bans-entry-of-travellers-vehicles-from-turkey-until-april-26-268200news.html,,,
7871,Kenya,KEN,KE,PARTIAL,BORDER_CLOSURE,04_27_20,NONE,1,All,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,3,,,https://web.archive.org/web/20200501105751/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,,,,,,
8160,Burundi,BDI,BI,PARTIAL,BORDER_CLOSURE,04_18_20,11_08_20,1,All,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,6,,,,,,http://web.archive.org/web/20200418131232/https://twitter.com/JimbereMag/status/1251192341697908744,,,
8163,Chad,TCD,TD,PARTIAL,BORDER_CLOSURE,04_24_20,08_01_20,1,All,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,5,,,,,http://web.archive.org/web/20200811171646/https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/tchad/,,,,
8174,Liberia,LBR,LR,PARTIAL,BORDER_CLOSURE,04_29_20,NONE,0,NA,NA,1,All,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,3,,,https://web.archive.org/web/20200501105751/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,,,,,,
8241,Greece,GRC,GR,PARTIAL,BORDER_CLOSURE,03_15_20,NONE,0,NA,NA,1,Specific,"Turkey, Albania, North Macedonia",0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,7,,,,,,,https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html,,
8328,"Congo, The Democratic Republic of the",COD,CD,PARTIAL,BORDER_CLOSURE,04_03_20,08_15_20,1,All,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,1,http://web.archive.org/web/20200802092245/https://www.stopcoronavirusrdc.info/directives-prises-par-le-gouvernement,,,,,,,,
8640,Malta,MLT,MT,PARTIAL,BORDER_CLOSURE,04_11_20,05_31_20,1,All,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,"6,7",,,,,,https://web.archive.org/web/20200506101917/https://timesofmalta.com/articles/view/flight-ban-extended-to-end-of-may.788993,https://web.archive.org/web/20200319150844/https://www.independent.com.mt/articles/2020-03-18/local-news/Flights-to-be-suspended-as-from-Saturday-6736220955,,https://web.archive.org/web/20200506101917/https://timesofmalta.com/articles/view/flight-ban-extended-to-end-of-may.788993
8730,Thailand,THA,TH,PARTIAL,BORDER_CLOSURE,04_30_20,05_15_20,1,Specific,the Phuket International Airport will remain closed ,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,4,,,,https://web.archive.org/web/20200502214836/https://www.tatnews.org/2020/04/tat-update-phuket-airport-closure-extended-until-15-may-2020/,,,,,
